ID,firstName,lastName,email,country_code
770e8400-e29b-41d4-a716-000000000001,Thomas,Hartmann,thomas.hartmann@sap.com,AT
770e8400-e29b-41d4-a716-000000000002,Sabine,Weissenböck,sabine.weissenbock@sap.com,AT
770e8400-e29b-41d4-a716-000000000003,Markus,Friedl,markus.friedl@sap.com,AT
770e8400-e29b-41d4-a716-000000000004,Julia,Steindl,julia.steindl@sap.com,AT
770e8400-e29b-41d4-a716-000000000005,Christian,Fenzl,christian.fenzl@sap.com,AT
770e8400-e29b-41d4-a716-000000000006,Andrea,Pöchhacker,andrea.pochhacker@sap.com,AT
770e8400-e29b-41d4-a716-000000000007,Bernhard,Krammer,bernhard.krammer@sap.com,AT
770e8400-e29b-41d4-a716-000000000008,Ursula,Knapitsch,ursula.knapitsch@sap.com,AT
770e8400-e29b-41d4-a716-000000000009,Manuel,Brandstätter,manuel.brandstatter@sap.com,AT
770e8400-e29b-41d4-a716-000000000010,Sandra,Lechner,sandra.lechner@sap.com,AT
770e8400-e29b-41d4-a716-000000000011,Wolfgang,Gruber,wolfgang.gruber@sap.com,AT
770e8400-e29b-41d4-a716-000000000012,Katharina,Moser,katharina.moser@sap.com,AT
770e8400-e29b-41d4-a716-000000000013,Stefan,Oberndorfer,stefan.oberndorfer@sap.com,AT
770e8400-e29b-41d4-a716-000000000014,Claudia,Zehetner,claudia.zehetner@sap.com,AT
770e8400-e29b-41d4-a716-000000000015,Patrick,Hollerweger,patrick.hollerweger@sap.com,AT
770e8400-e29b-41d4-a716-000000000016,Klaus,Rothbauer,klaus.rothbauer@sap.com,DE
770e8400-e29b-41d4-a716-000000000017,Petra,Winterhalter,petra.winterhalter@sap.com,DE
770e8400-e29b-41d4-a716-000000000018,Hans-Peter,Schindler,hanspeter.schindler@sap.com,DE
770e8400-e29b-41d4-a716-000000000019,Sophie,Winkler,sophie.winkler@sap.com,CH
770e8400-e29b-41d4-a716-000000000020,Felix,Amstutz,felix.amstutz@sap.com,CH
